Class,Title,Description,BodyText,ImageSrc,ImageSrc2,Caption,Caption2,Link,Keywords,
left,Dominique Gonzalez-Foerster,"French Visual Artist, 1965 - Current","Dominique Gonzalez-Foerster is a French artist born in 1965. She has many interactive and static artworks and exhibits. She was obsessed with the study and relationship of bodies and spaces. Her work Seance de shadow II, pictured left, is an example of her exploration of interactivity and people. It utilises infrared sensors to determine when a person is near and then illuminates a deep blue light casting a shadow on the wall. This project relates to assignment 2C as the physical computing aspect of bodies and the interaction between people and computers to create art and interactivity.",https://media.tate.org.uk/art/images/work/T/T12/T12752_639438_9.jpg,,"Dominique Gonzalez-Foerster, ""Seance de Shadow II (bleu)""",,https://www.estherschipper.com/artists/39-dominique-gonzalez-foerster/,"Visual Art, Bodies-In-Space, Artist", 
leftDoubleImage,Sun Yuan & Peng Yu,Fine artists group from China,"The famous exhibit of Cant help myself is a beautiful work of physical computing and it engages the audience emotively rather than physically. The exhibit is able to last for up to 3 years and displays a robot helplessly trying to put fluid back into itself and the fluid rapidly escapes from its body. Their dedication to the experience is key with this great quote Each person thinks of one thing,when putting them together,an expressive relationship will be built in between Their dedication to the experience of the audience is something to be admired",http://www.sunyuanpengyu.com/static/upload/image/20240315/1710511461766034.jpg,http://www.sunyuanpengyu.com/static/upload/image/20240313/1710344212373959.jpg,"Sun Yuan & Peng Yu's ""Can't help myself""","""SunYuan & PengYu"" 2009",http://www.sunyuanpengyu.com/index.html,"Emotive, robot",
left,Olafur Eliasson,"Studio, Web designers","Although the work displayed to left, The Weather Project, is beautiful, the main part of Olafur Eliassons work that inspires me is the engaging and interactive nature of their website. The landing page allows you to scroll through their works, then a crystal appears on the page and follows you, enticing you to click. You are then directed to a cloud of works that you can move through an engage with. This is inspiring for 2A the interactivity feels simple but allows for such a complex display of information that isnt overwhelming.","https://res.cloudinary.com/olafureliasson-net/image/private/q_auto:eco,c_fit,h_1920,w_1920/img/the-weather-project_3856.webp",,"Project ""The Weather Project"" 2003",,https://olafureliasson.net/,"Webdesign, coding, interactive, website",
leftDoubleImage,Fuse Works,Multidisciplinary art studio founded in 2007,"Directed by Luca Camellini and Mattia Carretti, Fuse Works are focused on  interpreting the complexities of human, natural and social phenomena. Through multi media projects they utilise both physical interactivity and lighting to create engaging works. Their solo exhibition, Trust, showcases a pointcloud shown on the left. Its an everchanging analysis of data projected visually as a pointcloud. The cloud never repeats. ",https://www.fuseworks.it/assets/Uploads/TRUST/future-landscape-002.png,https://www.fuseworks.it/assets/Uploads/TRUST/Rykov-1107339.jpg,"Pointcloud from solo exhibition ""Trust""","""Trust, Fragments""",https://www.fuseworks.it/,"Studio, Immersive, Creative Coding",
left,Marpi Studio,Studio focused on alternate futures and the complexities of the natural world,"Marpi Studio are well known for their exhibit, Digital petting zoo, with their artificial creatures that mimic and act like real animals. They are able to respond to people when they are pet. A truly immersive and creative use of coding. Their project seen on the left is the binary garden and similar to the digital petting zoo the audience can directly intersect with the code and distort and alter the environment surrounding them.",https://www.marpi.studio/images/5/3/9/d/1/539d193f3d312371649fc54275625b468828999e-x2.jpg,,"""Binary Garden""  2017",,https://www.marpi.studio/,"Zoo, Creator, Creative Coding",
leftDoubleImage,Adrien M & Claire B,French Artisti group creating since 2004,"This studios expression of coding and the interactivity between human nature and technology truly inspires me. In the project Hanakai, they utilise coding to enhance the dance performance, with an interactive wireframe cube. It adds to the performance creating an additional layer of expression that can be felt throughout the performance. The other project Mirages and Miracles, is a combination of interactive and projected media that test the boundaries between reality and illusion. ",https://www.am-cb.net/assets/q90/edc295d5/embleme_amcb_hakanai_romainetienne5123_3.jpg,https://img.lemde.fr/2020/02/20/65/0/3542/1768/1440/720/60/0/ded7e28_TrhQT2Utt86XOEodbGi70xvP.jpg,Hakanai 2013,Mirages & Miracles 2017,https://www.am-cb.net/,"French Studio, Blending Reality",
left,Memo Akten,Self proclaimed AI whisperer ,"Memo Akten is an artist that is obsessed with the use of AI and the intricacies of human-computer entanglements. In his piece, Fight!, utilises a VR headset and feeds the viewer two completely different and contrasting images in either eye. Memo was fascinated with the visual interpretation of the brain and rather than focusing on one image or the other, the eyes fight and create a patchwork of both images at once. Everyone will see something different with their own interpretation of the images combination. This work was motivated to question reality and perception through interactive and engaging coding.",https://www.memo.tv/wpmemo/wp-content/uploads/2017/03/MemoAkten_2017_FightArs_01-scaled.jpg,,Fight! 2017 installation view,,https://www.memo.tv/,"AI Whisperer, Researcher, Artist, Muscisian",
leftDoubleImage,Casey Reas,"Co Founder of Processing, Co founder of Feral File",The co-founder of processing Casey Reas utilises p5 and Js to create sketches and interactive expressions of code in a beautiful and engaging way. Both artworks to the left utilise code to create sketches that are precise yet abstract and dynamic. ,https://reas.com/network_d_p1/reas_network_d_p1_0.jpg,https://reas.com/earthly_1/reas_earthly_1_3.jpg,Network D (image 1) 2012,Earthly delights 1.3 2019,https://reas.com/,"Abstract, Creative Coding, Processing",
left,Bioluminescence,Interactive light installation ,"This installation, with technical lead Qiaqia Wang, utilises physical computing and 3D gesture tracking to simulate reality with the bioluminescence that you would find in the sea. With the use of the 3d gesture tracking they are able to locate bodies when they enter the space and simulate the movement of waves on the beach.",bioluminescence.jpg,,"Image of the output of the ""Bioluminescence"" installation ",,https://www.behance.net/gallery/11248211/Bioluminescence?tracking_source=search_projects%7Cphysical+computing+interactive+installation,"Physicalcomputing, light, interactivity",
leftDoubleImage,Laura Splan,New York City based transdisciplinary artist,"Laura Splan creates work that are inspired and work in tandem with science and technology. Her work, Unravelling and renatured, uses the molecular models of the proteins within the Covid 19 virus as a pattern to create animations and a kaleidoscope type effect on the screen. Her work, A guided sublimation at Vanderbilt Museum Planetarium, is another example of the seamless realisation of science and art. It takes the audience through an even more immersive experience within the planetarium. Creating to a similar feeling to meditation, an excellent example of creative and interactive coding.",https://assets-global.website-files.com/6391e5efd5c2c1a8b351b8b8/65369055a239d849f929f4cd_Laura_Splan%E2%80%942023%E2%80%94A_Guided_Sublimation%E2%80%94Vanderbilt_Museum_Planetarium%E2%80%94installation_view%E2%80%9403.jpg,https://assets-global.website-files.com/6391e5efd5c2c1a8b351b8b8/6401f5651c3d4c0a2a87078f_Laura_Splan%E2%80%942020%E2%80%94Unraveling%E2%80%94animation_still%E2%80%9404.jpg,"A Guided Sublimation: An Immersive Meditation on Posthuman Subjectivities October 20-21, 2023",Unraveling and Renatured 2020 ANIMATIONS? 4K digital animations with stereo sound,https://www.laurasplan.com/,"Science, Technology, Culture",
